type,node_id,parent_id,planet_id,depth,size,x,y,z,image_id
image,,0_node_16,0,,1,-1.4734455,5.2342043,8.077752,5339.jpg
image,,0_node_16,0,,1,-1.6263586,5.0667725,7.9367595,5794.jpg
image,,0_node_16,0,,1,-1.3933828,5.343014,8.109574,9687.jpg
image,,0_node_16,0,,1,-1.4766033,5.31569,8.041839,16261.jpg
image,,0_node_16,0,,1,-1.4547362,5.415783,8.008501,8530.jpg
image,,0_node_16,0,,1,-1.2701473,5.163075,8.10625,620.jpg
image,,0_node_16,0,,1,-1.5640098,4.9037285,8.1404705,18516.jpg
node,planet_1,root,1,0.0,294,6.1339846,5.317722,1.2334863,
node,1_node_0,1_node_304,1,,10,6.4326363,5.3654485,1.0110902,
node,1_node_1,1_node_307,1,,17,6.45412,5.316791,1.6614319,
node,1_node_2,1_node_296,1,,6,5.601526,5.8521647,1.3284765,
node,1_node_4,1_node_294,1,,41,5.87013,5.750321,1.437733,
node,1_node_6,1_node_296,1,,8,6.0243154,4.8418407,1.2700037,
node,1_node_7,1_node_294,1,,17,6.1781683,5.155179,0.8614408,
node,1_node_8,1_node_307,1,,37,6.165955,4.707938,1.1269091,
node,1_node_296,1_node_294,1,,95,6.210554,5.1235533,1.2655789,
node,1_node_294,planet_1,1,,153,6.1157303,5.295024,1.2668077,
node,1_node_300,1_node_296,1,,81,6.27406,5.0974045,1.2604825,
node,1_node_303,1_node_300,1,,62,6.282202,5.000559,1.3033587,
node,1_node_304,1_node_300,1,,19,6.247494,5.4134326,1.1205716,
node,1_node_307,1_node_303,1,,54,6.256675,4.8996134,1.2951849,
node,1_node_308,1_node_303,1,,8,6.4545097,5.681934,1.3585322,
node,1_node_313,1_node_304,1,,9,6.0417805,5.466748,1.2422178,
image,,1_node_4,1,,1,5.923819,5.644182,1.5933276,4509.jpg
image,,1_node_4,1,,1,5.850936,5.702586,1.3823696,7644.jpg
image,,1_node_4,1,,1,5.9308786,5.8417892,1.5718267,8634.jpg
image,,1_node_4,1,,1,6.0410943,5.658598,1.6362027,14451.jpg
image,,1_node_4,1,,1,5.787927,5.681346,1.2842915,270.jpg
image,,1_node_4,1,,1,5.836804,5.5813456,1.6785189,19142.jpg
image,,1_node_4,1,,1,5.898206,5.9436717,1.4415362,17420.jpg
image,,1_node_4,1,,1,5.729199,5.773617,1.6027315,9015.jpg
image,,1_node_4,1,,1,5.600055,5.4281125,1.6285436,12927.jpg
image,,1_node_4,1,,1,5.97924,5.861582,1.3122885,3403.jpg
image,,1_node_4,1,,1,6.014616,5.6749797,1.4042162,1296.jpg
image,,1_node_4,1,,1,6.25393,5.7472706,1.5320797,12630.jpg
image,,1_node_4,1,,1,6.0873346,6.0126,1.2974904,5323.jpg
image,,1_node_4,1,,1,5.930518,5.8355565,1.3129972,19837.jpg
image,,1_node_4,1,,1,5.7346907,5.7784495,1.548551,1105.jpg
image,,1_node_4,1,,1,5.6357055,5.4120994,1.4918716,16951.jpg
image,,1_node_4,1,,1,6.171827,5.9953375,1.1225222,7940.jpg
image,,1_node_4,1,,1,5.8880696,5.9007826,1.3629835,11446.jpg
image,,1_node_4,1,,1,6.068294,5.5760446,1.2878875,10394.jpg
image,,1_node_4,1,,1,5.821421,5.84371,1.4456494,6851.jpg
image,,1_node_4,1,,1,5.649275,5.7427583,1.4565369,16646.jpg
image,,1_node_4,1,,1,5.9629164,5.8692937,1.5106885,12592.jpg
image,,1_node_4,1,,1,5.633848,5.7447023,1.5668533,12993.jpg
image,,1_node_4,1,,1,6.1879287,6.11076,1.4027694,15058.jpg
image,,1_node_4,1,,1,5.668705,5.8477316,1.2584573,2044.jpg
image,,1_node_4,1,,1,5.710798,5.458347,1.5593095,11999.jpg
image,,1_node_4,1,,1,6.0415244,5.928334,1.2314304,257.jpg
image,,1_node_4,1,,1,5.7421594,5.60506,1.404132,4581.jpg
image,,1_node_4,1,,1,6.170906,5.912741,1.4429204,9645.jpg
image,,1_node_4,1,,1,5.7928433,5.956215,1.257957,8827.jpg
image,,1_node_4,1,,1,5.8654413,5.5641384,1.31381,1488.jpg
image,,1_node_4,1,,1,5.6140065,5.4983053,1.560155,18849.jpg
image,,1_node_4,1,,1,5.85599,5.8666596,1.2525064,783.jpg
image,,1_node_4,1,,1,5.6495304,5.4955025,1.5833521,14038.jpg
image,,1_node_4,1,,1,5.7042327,5.6431446,1.1070192,1844.jpg
image,,1_node_4,1,,1,5.925207,5.741176,1.7060819,231.jpg
image,,1_node_4,1,,1,5.8969026,5.7991714,1.6202159,18245.jpg
image,,1_node_4,1,,1,6.0821404,6.0542417,1.1585454,10896.jpg
image,,1_node_4,1,,1,5.6620336,5.464886,1.6101011,778.jpg
image,,1_node_4,1,,1,5.681515,5.70423,1.4408315,5594.jpg
image,,1_node_4,1,,1,5.992815,5.862115,1.5655037,5030.jpg
image,,1_node_7,1,,1,6.15935,4.9688783,0.85163176,3130.jpg
image,,1_node_7,1,,1,5.937044,4.936527,0.8995062,11451.jpg
image,,1_node_7,1,,1,6.3425765,5.4001904,0.7551707,8140.jpg
image,,1_node_7,1,,1,5.9970675,4.9787774,0.8073539,9096.jpg
image,,1_node_7,1,,1,6.2507596,4.9962153,0.8721887,10513.jpg
image,,1_node_7,1,,1,6.324513,5.1257577,0.682358,2040.jpg
image,,1_node_7,1,,1,5.949554,5.2924585,0.862862,4033.jpg
image,,1_node_7,1,,1,5.9782386,5.2831855,0.90863687,14621.jpg
image,,1_node_7,1,,1,6.069207,5.248838,0.94879013,15482.jpg
image,,1_node_7,1,,1,6.5648923,5.2616205,0.77395844,16638.jpg
image,,1_node_7,1,,1,6.2754507,5.145595,1.0658873,18152.jpg
image,,1_node_7,1,,1,6.2798576,4.895563,0.9499152,12431.jpg
image,,1_node_7,1,,1,5.990545,5.416567,0.8664375,16082.jpg
image,,1_node_7,1,,1,6.1943393,5.0852356,0.84227663,5456.jpg
image,,1_node_7,1,,1,6.239709,5.3700967,0.98599625,4306.jpg
image,,1_node_7,1,,1,6.261742,5.131466,0.7388382,1590.jpg
image,,1_node_7,1,,1,6.2140117,5.1010795,0.83268493,19688.jpg
image,,1_node_8,1,,1,6.103473,4.7133765,0.86168116,2889.jpg
image,,1_node_8,1,,1,5.924862,4.614921,1.0487276,11687.jpg
image,,1_node_8,1,,1,6.189021,4.750271,0.9049701,5834.jpg
image,,1_node_8,1,,1,6.332334,4.6616564,1.300151,9078.jpg
image,,1_node_8,1,,1,6.405558,4.6603627,1.3057826,10007.jpg
image,,1_node_8,1,,1,5.9223723,4.772685,1.0155146,1692.jpg
image,,1_node_8,1,,1,6.0416646,4.543454,0.9699105,8219.jpg
image,,1_node_8,1,,1,6.440842,4.7868943,1.4022799,2601.jpg
image,,1_node_8,1,,1,6.416691,4.712823,1.2842891,11760.jpg
image,,1_node_8,1,,1,6.0485296,5.006942,1.2198411,4052.jpg
image,,1_node_8,1,,1,6.101044,4.562199,0.94209284,15565.jpg
image,,1_node_8,1,,1,5.898653,4.6177726,1.0719703,7059.jpg
image,,1_node_8,1,,1,6.3966627,4.671776,1.3116136,3871.jpg
image,,1_node_8,1,,1,6.3619533,4.4974384,1.1679025,12721.jpg
image,,1_node_8,1,,1,6.414306,4.8838797,1.3382145,15776.jpg
image,,1_node_8,1,,1,6.347163,4.769956,1.3468457,7587.jpg
image,,1_node_8,1,,1,5.884428,4.708604,1.1085794,3450.jpg
image,,1_node_8,1,,1,5.9330616,4.7161765,0.91405743,10655.jpg
image,,1_node_8,1,,1,6.415794,4.505511,1.169002,9219.jpg
image,,1_node_8,1,,1,6.400314,4.5781717,1.2301416,18310.jpg
image,,1_node_8,1,,1,5.9345007,4.577958,1.1057403,7802.jpg
image,,1_node_8,1,,1,5.941073,4.875342,1.3348895,13090.jpg
image,,1_node_8,1,,1,5.98144,4.7372346,1.0385561,17179.jpg
image,,1_node_8,1,,1,6.0725446,4.6711435,0.7854376,12718.jpg
image,,1_node_8,1,,1,6.2617254,4.533303,1.1139181,7231.jpg
image,,1_node_8,1,,1,6.14703,4.6094675,0.8163104,8790.jpg
image,,1_node_8,1,,1,6.450712,4.6297765,1.3904183,11072.jpg
image,,1_node_8,1,,1,6.19876,4.9359403,0.71791327,15841.jpg
image,,1_node_8,1,,1,6.172198,4.532417,0.9990466,115.jpg
image,,1_node_8,1,,1,6.098796,4.890539,1.3299193,17811.jpg
image,,1_node_8,1,,1,6.3295,4.620011,1.3145475,18431.jpg
image,,1_node_8,1,,1,5.9291883,4.6466713,1.0677133,4738.jpg
image,,1_node_8,1,,1,6.0155883,5.091831,1.2761376,3458.jpg
image,,1_node_8,1,,1,6.540864,4.671934,1.3673551,16735.jpg
image,,1_node_8,1,,1,6.1319523,4.7824464,0.7535258,2092.jpg
image,,1_node_8,1,,1,6.0354905,4.7038574,0.9841829,18422.jpg
image,,1_node_8,1,,1,5.920223,4.948982,1.3864564,19235.jpg
image,,1_node_6,1,,1,6.134184,4.925504,1.1969115,8497.jpg
image,,1_node_6,1,,1,5.9227376,4.9799476,1.3249041,3957.jpg
image,,1_node_6,1,,1,5.944805,4.890421,1.3733056,4049.jpg
image,,1_node_6,1,,1,6.0802603,4.8977036,1.1997539,853.jpg
image,,1_node_6,1,,1,6.0837126,4.76038,1.2633346,5341.jpg
image,,1_node_6,1,,1,6.1048536,4.8590603,1.4102458,10953.jpg
image,,1_node_6,1,,1,5.96829,4.6207914,1.2427299,11685.jpg
image,,1_node_6,1,,1,5.955681,4.8009186,1.1488446,296.jpg
image,,1_node_1,1,,1,6.4230776,5.4152527,1.6194277,8674.jpg
image,,1_node_1,1,,1,6.445383,5.3663635,1.7777137,3105.jpg
image,,1_node_1,1,,1,6.3413076,5.3946714,1.6817434,5360.jpg
image,,1_node_1,1,,1,6.355302,5.3619227,1.5762774,409.jpg
image,,1_node_1,1,,1,6.7037587,5.237769,1.4368132,15761.jpg
image,,1_node_1,1,,1,6.5098925,5.3352757,1.6890832,9789.jpg
image,,1_node_1,1,,1,6.3500295,5.421897,1.734069,2049.jpg
image,,1_node_1,1,,1,6.491078,5.327948,1.6226145,8554.jpg
image,,1_node_1,1,,1,6.6168056,5.3763747,1.4818845,534.jpg
image,,1_node_1,1,,1,6.428476,5.4127336,1.751185,10527.jpg
